Identifier,Insecurity,Start_date,End_date,Number _of_deaths,State
IBD032047,"Northern Hunters, Edo",20/03/2025,20/03/2025,16,Edo
IBD032013,"Kidnap Victim, Bauchi",20/03/2025,20/03/2025,1,Bauchi
IBD031979,"Assailants vs Security Guard, Ebonyi",19/03/2025,19/03/2025,1,Ebonyi
IBD031972,"Explosion/Auto Crash, FCT (Abuja)",19/03/2025,19/03/2025,10,FCT
IBD032002,"Inferno, Yobe",19/03/2025,19/03/2025,1,Yobe
IBD031971,"Domestic Violence, Lagos",19/03/2025,19/03/2025,1,Lagos
IBD031982,"Rape Victim, Delta",19/03/2025,19/03/2025,1,Delta
IBD031975,"Herders vs Farmers, Ondo",19/03/2025,19/03/2025,10,Ondo
IBD031994,"Banditary, Katsina",19/03/2025,19/03/2025,10,Katsina
IBD031980,"Herdsmen Attack, Benue",19/03/2025,19/03/2025,5,Benue
IBD031978,"Rainstorm Kill 1, Ogun",18/03/2025,18/03/2025,1,Ogun
IBD031974,"Army vs Terrorist, Zamfara",18/03/2025,18/03/2025,7,Zamfara
IBD031970,"Auto Crash, Rivers",18/03/2025,18/03/2025,1,Rivers
IBD031993,"NAF vs Boko Haram, Borno",18/03/2025,18/03/2025,25,Borno
IBD031977,Police vs Gunmen Benue,18/03/2025,19/03/2025,12,Benue
IBD031969,"Communal Clash, Ebonyi",17/03/2025,17/03/2025,2,Ebonyi
IBD031973,"Army vs Terrorist, Katsina",17/03/2025,17/03/2025,3,Katsina
IBD031991,"NAF vs Boko Haram, Borno",17/03/2025,17/03/2025,10,Borno
IBD031976,"Herdsmen Attack, Benue",17/03/2025,17/03/2025,2,Benue
IBD032003,"Electrocution, Lagos",17/03/2025,17/03/2025,1,Lagos
IBD031988,"Lawyer vs Student, Imo",17/03/2025,17/03/2025,1,Imo
IBD031997,"Boy Suffocates, Lagos",16/03/2025,16/03/2025,1,Lagos
IBD031952,"Armed Robbers vs Watchman, Katsina",16/03/2025,16/03/2025,1,Katsina
IBD032036,"NAF vs Terrorists, Borno",16/03/2025,16/03/2025,40,Borno
IBD031955,"Auto Crash, Imo",16/03/2025,16/03/2025,7,Imo
IBD032015,"Domestic Violence, Edo",16/03/2025,16/03/2025,2,Edo
IBD032023,"Auto Crash, Kaduna",16/03/2025,16/03/2025,2,Kaduna
IBD031959,"Gunmen vs Fulani Leader, Kwara",16/03/2025,16/03/2025,1,Kwara
IBD032005,"Explosion, Rivers",16/03/2025,16/03/2025,1,Rivers
IBD032022,"Mob vs Armed Robber, Lagos",15/03/2025,15/03/2025,1,Lagos
IBD031958,"Assailants vs Bride, Jigawa",15/03/2025,15/03/2025,1,Jigawa
IBD015011,"Mob Attack, Lagos",15/03/2025,15/03/2025,1,Lagos
IBD031942,"Communal Clash, Cross River",15/03/2025,15/03/2025,2,Cross River
IBD031949,"Auto Crash, Anambra",15/03/2025,15/03/2025,6,Anambra
IBD031965,"Cult Clash, Ogun",15/03/2025,15/03/2025,4,Ogun
IBD031950,"Army vs Bandits, Katsina",15/03/2025,15/03/2025,12,Katsina
IBD031953,"Army vs Bandits, Katsina",15/03/2025,15/03/2025,12,Katsina
IBD031946,"Police vs Kidnapper, Nasarawa",14/03/2025,14/03/2025,1,Nasarawa
IBD031967,"Gunmen vs Herders, Enugu",14/03/2025,14/03/2025,5,Enugu
IBD031945,"Police vs Kidnappers, Abia",14/03/2025,14/03/2025,6,Abia
IBD031948,"Drowns, Rivers",14/03/2025,14/03/2025,1,Rivers
IBD031968,"Domestic Violence, Abia",14/03/2025,14/03/2025,1,Abia
IBD031943,"NAF vs Bandit, Katsina",13/03/2025,13/03/2025,22,Katsina
IBD031944,"Catholic Seminarian, Edo",13/03/2025,13/03/2025,1,Edo
IBD031938,"Auto Crash, Edo",12/3/2025,12/3/2025,1,Edo
IBD031956,"Farmer, Benue",12/3/2025,12/3/2025,1,Benue
IBD031947,"Soldiers vs Kidnappers, Plateau",12/3/2025,12/3/2025,2,Plateau
IBD032024,"Kidnappers vs Village Head, Kaduna",11/3/2025,11/3/2025,1,Kaduna
IBD031937,"Army vs Terrorist, Kaduna",11/3/2025,11/3/2025,3,Kaduna
IBD031928,"Herders Attack, Benue",11/3/2025,11/3/2025,4,Benue
IBD031929,"Auto Crash/Explosion, Lagos",11/3/2025,11/3/2025,3,Lagos
IBD031954,"Vigilantes, FCT (Abuja)",11/3/2025,11/3/2025,2,FCT
IBD031957,"Bandits vs Worshippers, Nasarawa",10/3/2025,10/3/2025,3,Nasarawa
IBD031930,"Assailant vs Man, Lagos",10/3/2025,10/3/2025,1,Lagos
IBD031925,"Farmers vs Herders, Nasarawa",10/3/2025,10/3/2025,11,Nasarawa
IBD031909,"Domestic Violence, Akwa Ibom",10/3/2025,10/3/2025,1,Akwa Ibom
IBD031927,"Extrajudicial Killing, Niger",10/3/2025,10/3/2025,1,Niger
IBD031924,"Extrajudicial Killing, Niger",10/3/2025,10/3/2025,1,Niger
IBD031916,"Police vs Kidnappers, Akwa Ibom",10/3/2025,10/3/2025,1,Akwa Ibom
IBD031904,"Auxiliary Nurse , Delta",10/3/2025,10/3/2025,1,Delta
IBD031926,"Extrajudicial Killings, Niger",10/3/2025,10/3/2025,1,Niger
IBD031910,"Suspected Herders Kill 20, Ondo",9/3/2025,9/3/2025,17,Ondo
IBD031921,"Kidnappers vs Woman, Kaduna",9/3/2025,9/3/2025,1,Kaduna
IBD031961,"Police vs Kidnappers, Delta",9/3/2025,9/3/2025,4,Delta
IBD031915,"Customs Operavtives vs Smugglers, Ogun",9/3/2025,9/3/2025,1,Ogun
IBD031911,"Lakurawa Bandits Kills 11, Kebbi",9/3/2025,9/3/2025,13,Kebbi
IBD031917,"Auto Crash, Ogun",9/3/2025,9/3/2025,4,Ogun
IBD031912,"Auto Crash, Edo",9/3/2025,9/3/2025,8,Edo
IBD031923,"Auto Crash, FCT (Abuja)",9/3/2025,9/3/2025,1,FCT
IBD031922,"Man vs Friend, FCT (Abuja)",8/3/2025,8/3/2025,1,FCT
IBD031934,"Murder, Niger",8/3/2025,8/3/2025,1,Niger
IBD031931,"Boko Haram vs Vigilante, Yobe",8/3/2025,8/3/2025,1,Yobe
IBD031935,"Drown, Niger",8/3/2025,8/3/2025,1,Niger
IBD031900,"Communal Clash, Niger",8/3/2025,8/3/2025,1,Niger
IBD031905,"Cultist vs DJ, Lagos",8/3/2025,8/3/2025,1,Lagos
IBD031914,"Gunmen vs APC Council Chairman, Lagos",8/3/2025,8/3/2025,1,Lagos
IBD031919,"Palm Tree Kills Man, Ogun",8/3/2025,8/3/2025,1,Ogun
IBD031897,"Miyetti Allah Chairman, Kwara",8/3/2025,8/3/2025,1,Kwara
IBD031906,"Fight, Lagos",8/3/2025,8/3/2025,1,Lagos
IBD031898,"Ritual Killing, Edo",7/3/2025,7/3/2025,1,Edo
IBD031902,"Herdsmen Attack, Benue",7/3/2025,8/3/2025,15,Benue
IBD031932,"Herdsmen Attack, Kogi",7/3/2025,7/3/2025,2,Kogi
IBD031899,"Auto Crash, Abia",7/3/2025,7/3/2025,5,Abia
IBD031951,"Boy Beheaded, Adamawa",7/3/2025,7/3/2025,1,Adamawa
IBD031895,"Security Operatives vs Terrorist, Kebbi",6/3/2025,6/3/2025,1,Kebbi
IBD031940,"Domestic Violence, Ogun",6/3/2025,6/3/2025,1,Ogun
IBD031885,"Medical Negligence, Benue",6/3/2025,6/3/2025,5,Benue
IBD031876,"Electrocution, Ogun",6/3/2025,6/3/2025,1,Ogun
IBD031880,"Gunmen vs Cleric, Kaduna",5/3/2025,5/3/2025,1,Kaduna
IBD031894,"Auto Crash, Bayelsa",5/3/2025,5/3/2025,2,Bayelsa
IBD031892,"Auto Crash/ Explosion, Niger",5/3/2025,5/3/2025,7,Niger
IBD031882,"Building Collapse, Lagos",5/3/2025,5/3/2025,3,Lagos
IBD031998,"Drowns, FCT (Abuja)",5/3/2025,5/3/2025,1,FCT
IBD031891,"Security Operatives vs Bandits, Zamfara",5/3/2025,5/3/2025,12,Zamfara
IBD031884,"Police vs Kidnappers, FCT (Abuja)",4/3/2025,4/3/2025,14,FCT
IBD031848,"Bridge Collapse, Akwa Ibom",4/3/2025,4/3/2025,4,Akwa Ibom
IBD031881,"Auto Crash, Anambra",4/3/2025,4/3/2025,10,Anambra
IBD031889,"Man Dies Working on Farm, FCT (Abuja)",4/3/2025,4/3/2025,1,FCT
IBD031871,"Explosion, Oyo",4/3/2025,4/3/2025,2,Oyo
IBD031869,"Police vs Herder, Edo",4/3/2025,4/3/2025,1,Edo
IBD031870,"Auto Crash, Ogun",4/3/2025,4/3/2025,17,Ogun
IBD031873,"Gunmen vs Immigration Officer, FCT (Abuja)",4/3/2025,4/3/2025,1,FCT
IBD031865,"Gunmen Attack, Abia",4/3/2025,4/3/2025,2,Abia
IBD032053,"Auto Crash, Lagos",4/3/2025,4/3/2025,1,Lagos
IBD031867,"Drown, FCT (Abuja)",3/3/2025,3/3/2025,1,FCT
IBD031936,"Bandit Leader, FCT (Abuja)",3/3/2025,3/3/2025,1,FCT
IBD031890,"Boko Harm Kill Police Officer Children, Borno",3/3/2025,3/3/2025,2,Borno
IBD031877,"Gunmen Attack, Benue",3/3/2025,3/3/2025,2,Benue
IBD031868,Gunmen vs Site Engineer Edo,3/3/2025,3/3/2025,1,Edo
IBD031893,"Assailant vs Man, Ogun",3/3/2025,3/3/2025,1,Ogun
IBD031879,"Auto Crash, Kogi",3/3/2025,3/3/2025,4,Kogi
IBD031888,"Herders Kill Man, FCT (Abuja)",2/3/2025,2/3/2025,1,FCT
IBD031866,"Teenager, Ogun",2/3/2025,2/3/2025,1,Ogun
IBD031874,"Community leader Killed, Anambra",2/3/2025,2/3/2025,1,Anambra
IBD031858,"Gunmen Kill One, Gombe",2/3/2025,2/3/2025,1,Gombe
IBD031941,"Woman Killed, Bauchi",2/3/2025,2/3/2025,1,Bauchi
IBD031861,"Herdsmen vs Vigilante, Delta",2/3/2025,2/3/2025,1,Delta
IBD031939,"Policeman vs Okada Riders, Plateau",1/3/2025,1/3/2025,1,Plateau
IBD031864,"Soldiers vs Boko Haram, Borno",1/3/2025,1/3/2025,15,Borno
IBD031852,"Auto Crash, Edo",1/3/2025,1/3/2025,12,Edo
IBD031883,"Drug Addict Kill Phone Charger, Ogun",1/3/2025,1/3/2025,1,Ogun
IBD031913,"Female Corpses, Delta",1/3/2025,1/3/2025,2,Delta
IBD031854,"Herdsmen vs Farmers, Benue",1/3/2025,1/3/2025,6,Benue
IBD031659,"Police vs Kidnappers, Kwara",1/3/2025,1/3/2025,2,Kwara
IBD031855,"Gunmen vs Businessman, Ondo",1/3/2025,1/3/2025,1,Ondo
IBD031853,"Domestic Violence, Bauchi",1/3/2025,1/3/2025,1,Bauchi
IBD031887,"Domestic Violence, Bauchi",28/02/2025,28/02/2025,1,Bauchi
IBD031856,"Herdsmen Attack, Delta",28/02/2025,28/02/2025,1,Delta
IBD032001,"Inferno, Yobe",28/02/2025,28/02/2025,1,Yobe
IBD031860,"Cult Clash, Delta",28/02/2025,28/02/2025,2,Delta
IBD031808,"Auto Crash, Kwara",28/02/2025,28/02/2025,1,Kwara
IBD031851,"Banditry, Katsina",27/02/2025,27/02/2025,17,Katsina
IBD031886,"Gunmen Attack, Ogun",27/02/2025,27/02/2025,1,Ogun
IBD031862,"Banditry, Zamfara",27/02/2025,27/02/2025,2,Zamfara
IBD031839,"Auto Crash, Enugu",27/02/2025,27/02/2025,6,Enugu
IBD031846,"Herdsmen Attack, Edo",27/02/2025,27/02/2025,2,Edo
IBD031847,"Soldier Kill Man, Akwa Ibom",27/02/2025,27/02/2025,1,Akwa Ibom
IBD031850,"Bandits vs Farmers, Niger",26/02/2025,26/02/2025,10,Niger
IBD031837,"Boko Haram Attack, Borno",26/02/2025,26/02/2025,7,Borno
IBD031843,"NAF Officer Kill Man, Kaduna",26/02/2025,26/02/2025,1,Kaduna
IBD031901,"Domestic Violence, Lagos",26/02/2025,26/02/2025,1,Lagos
IBD031844,"Cult Attack, Bayelsa",26/02/2025,26/02/2025,1,Bayelsa
IBD031840,"Land Dispute, Delta",26/02/2025,26/02/2025,1,Delta
IBD031826,"Auto Crash, Yobe",25/02/2025,25/02/2025,10,Yobe
IBD031833,"Kidnappers vs Police Officers, Plateau",25/02/2025,25/02/2025,2,Plateau
IBD031834,"Boko Haram Attack, Adamawa",25/02/2025,26/02/2025,40,Adamawa
IBD031822,"Kidnappers Kill Hunter, Oyo",25/02/2025,25/02/2025,1,Oyo
IBD031828,"Auto Crash, Sokoto",25/02/2025,25/02/2025,3,Sokoto
IBD031838,"Boko Haram/ISWAP Landmine Kills 2, Borno",25/02/2025,25/02/2025,2,Borno
IBD031821,"Auto Crash, Lagos",24/02/2025,24/02/2025,1,Lagos
IBD031832,"Auto Crash, Bauchi",24/02/2025,24/02/2025,2,Bauchi
IBD031813,"Herders vs Farmers, Edo",24/02/2025,24/02/2025,2,Edo
IBD031845,"Police Kill Man, Enugu",24/02/2025,24/02/2025,1,Enugu
IBD031875,"Domestic Violence, Bauchi",24/02/2025,24/02/2025,1,Bauchi
IBD031812,"Auto Crash, Ogun",24/02/2025,24/02/2025,9,Ogun
IBD031823,"Domestic Violence, Bauchi",24/02/2025,24/02/2025,1,Bauchi
IBD031842,"Auto Crash, Ogun",24/02/2025,24/02/2025,1,Ogun
IBD031836,"Herdsmen vs Vigilante Commander, Edo",24/02/2025,24/02/2025,1,Edo
IBD031824,"Auto Crash, Lagos",24/02/2025,24/02/2025,2,Lagos
IBD031830,"Boat Mishap, Delta",24/02/2025,24/02/2025,5,Delta
IBD031817,"Student Drowns, Bayelsa",23/02/2025,23/02/2025,1,Bayelsa
IBD031816,"Man vs Friend, Niger",23/02/2025,23/02/2025,1,Niger
IBD031820,"Security Operatives vs Artisan, Edo",23/02/2025,23/02/2025,1,Edo
IBD031825,"Auto Crash, Oyo",23/02/2025,23/02/2025,2,Oyo
IBD031907,"Revenue Collector vs Truck Driver, Edo",23/02/2025,23/02/2025,1,Edo
IBD031819,"Security Operatives Kills 1, Katsina",23/02/2025,23/02/2025,1,Katsina
IBD031835,"Ritual Killing, Edo",22/02/2025,22/02/2025,1,Edo
IBD031804,"Car Accident, Jigawa",22/02/2025,22/02/2025,4,Jigawa
IBD031806,"NAF Kill Bandits, Zamfara",22/02/2025,22/02/2025,23,Zamfara
IBD031803,"Farmer, Ogun",22/02/2025,22/02/2025,1,Ogun
IBD031841,"Fish Poison, Taraba",22/02/2025,22/02/2025,4,Taraba
IBD031800,"Man Drowns, Ogun",22/02/2025,22/02/2025,1,Ogun
IBD031799,"Auto Crash, Delta",22/02/2025,22/02/2025,1,Delta
IBD031796,"Domestic Violence, Edo",22/02/2025,22/02/2025,1,Edo
IBD031814,"Banditry, Kaduna",21/02/2025,21/02/2025,1,Kaduna
IBD031827,"Security Operatives vs Bandits, Katsina",21/02/2025,21/02/2025,4,Katsina
IBD031795,"Witchcraft Suspect, Borno",21/02/2025,21/02/2025,1,Borno
IBD031798,"Auto Crash, Niger",21/02/2025,21/02/2025,13,Niger
IBD031805,"Boy Drowns, Ogun",21/02/2025,21/02/2025,1,Ogun
IBD031863,"Kidnappers Kills 1, Zamfara",21/02/2025,21/02/2025,1,Zamfara
IBD031818,"Domestic Violence, Lagos",21/02/2025,21/02/2025,1,Lagos
IBD031810,"Motorcycle Thief, FCT (Abuja)",21/02/2025,21/02/2025,1,FCT
IBD031792,"Fallen Mast, Edo",20/02/2025,20/02/2025,1,Edo
IBD031797,"Communal Clash, Edo",20/02/2025,21/02/2025,12,Edo
IBD031794,"Police vs Kidnappers, Ogun",20/02/2025,20/02/2025,4,Ogun
IBD031802,"Banditry, Niger",20/02/2025,20/02/2025,4,Niger
IBD031793,"Building Collapse, Yobe",20/02/2025,20/02/2025,1,Yobe
IBD031811,"Ritual/Domestic Violence, Abia",19/02/2025,19/02/2025,3,Abia
IBD031786,"Banditry, Niger",19/02/2025,19/02/2025,1,Niger
IBD031783,"Kidnappers Attack, FCT (Abuja)",18/02/2025,18/02/2025,2,FCT
IBD031769,"Communal Clash, Ebonyi",18/02/2025,18/02/2025,1,Ebonyi
IBD031782,"Banditry, Zamfara",18/02/2025,18/02/2025,1,Zamfara
IBD031768,"Domestic Violence, Ekiti",18/02/2025,18/02/2025,2,Ekiti
IBD031785,"Explosion, Zamfara",18/02/2025,18/02/2025,3,Zamfara
IBD031757,"Political Crisis, Osun",17/02/2025,17/02/2025,2,Osun
IBD031781,"Army vs Boko Haram, Borno",17/02/2025,17/02/2025,10,Borno
IBD031778,"Assailants vs Student, Ondo",17/02/2025,17/02/2025,1,Ondo
IBD031759,"Political Crisis, Osun",17/02/2025,17/02/2025,1,Osun
IBD031755,"Cult Clash, Delta",17/02/2025,17/02/2025,1,Delta
IBD031753,"Gunmen Attack, Benue",17/02/2025,17/02/2025,3,Benue
IBD031758,"Political Crisis, Osun",17/02/2025,17/02/2025,2,Osun
IBD031760,"Auto Crash, Imo",16/02/2025,16/02/2025,8,Imo
IBD031766,"Ritual Killing, Ogun",16/02/2025,16/02/2025,1,Ogun
IBD031878,"Extrajudicial Killing, Ondo",16/02/2025,16/02/2025,1,Ondo
IBD031770,"Kidnappers Attack, Imo",16/02/2025,16/02/2025,1,Imo
IBD031761,"Auto Crash, Kogi",16/02/2025,16/02/2025,7,Kogi
IBD031771,"Auto Crash, Ogun",16/02/2025,16/02/2025,1,Ogun
IBD031756,"Inferno, Ondo",16/02/2025,16/02/2025,3,Ondo
IBD031742,"Security Operatives vs Armed Robber, Ogun",16/02/2025,16/02/2025,1,Ogun
IBD031772,"Auto Crash, Delta",16/02/2025,16/02/2025,17,Delta
IBD031767,"Assailants vs Student, Kaduna",16/02/2025,16/02/2025,1,Kaduna
IBD031763,"Hoodlums vs Motorcyclist, FCT (Abuja)",16/02/2025,16/02/2025,1,FCT
IBD031920,"Domestic Violence, Cross River",15/02/2025,15/02/2025,1,Cross River
IBD031745,"Mob vs Robbers, FCT (Abuja)",15/02/2025,15/02/2025,2,FCT
IBD031743,"Mysterious Death, Ogun",15/02/2025,15/02/2025,1,Ogun
IBD031744,"Corpse Found, Kano",15/02/2025,15/02/2025,1,Kano
IBD031849,"Friends Murder Man, Lagos",15/02/2025,15/02/2025,1,Lagos
IBD031960,"Fire Incidents, Kano",15/02/2025,15/02/2025,7,Kano
IBD031748,"Army vs Villagers, Katsina",15/02/2025,15/02/2025,10,Katsina
IBD031749,"Gunmen Attack, Kwara",15/02/2025,15/02/2025,1,Kwara
IBD031752,"Herdsmen vs Farmers, Benue",15/02/2025,15/02/2025,22,Benue
IBD031750,"Mob vs NDLEA Officer/ Auto Crash, Kaduna",15/02/2025,15/02/2025,4,Kaduna
IBD031751,"Kidnapers vs Health Worker, Ondo",15/02/2025,15/02/2025,1,Ondo
IBD031746,"Extrajudicial Killing, Ondo",14/02/2025,14/02/2025,1,Ondo
IBD031737,"Police vs Kidnappers, Kebbi",14/02/2025,14/02/2025,4,Kebbi
IBD031765,"Cult Clash, Lagos",14/02/2025,15/02/2025,2,Lagos
IBD031736,"Auto Crash, Anambra",14/02/2025,14/02/2025,8,Anambra
IBD031740,"Assailant vs Traditional Ruler, Abia",14/02/2025,14/02/2025,1,Abia
IBD031859,"Domestic Violence, Ondo",14/02/2025,14/02/2025,1,Ondo
IBD031732,"Kidnappers Set Ablaze, Delta",13/02/2025,13/02/2025,2,Delta
IBD031733,"Auto Crash, Ogun",13/02/2025,13/02/2025,1,Ogun
IBD031779,"Extrajudicial Killing, Delta",13/02/2025,13/02/2025,2,Delta
IBD031780,"Man vs Friend, FCT (Abuja)",13/02/2025,13/02/2025,1,FCT
IBD031764,"Cult Clash, Ogun",13/02/2025,13/02/2025,1,Ogun
IBD031734,"Auto Crash, Kano",13/02/2025,13/02/2025,23,Kano
IBD031729,"Stab to Death, Rivers",12/2/2025,12/2/2025,1,Rivers
IBD031728,"Police vs Armed Robbers, FCT (Abuja)",12/2/2025,12/2/2025,3,FCT
IBD031829,"Kidnappers Kill Two, Kogi",12/2/2025,12/2/2025,2,Kogi
IBD031741,"Extrajudicial Killing, Lagos",12/2/2025,12/2/2025,1,Lagos
IBD031807,"Extrajudicial Killing, Benue",11/2/2025,11/2/2025,1,Benue
IBD031726,"Auto Crash, Taraba",11/2/2025,11/2/2025,3,Taraba
IBD031738,"Ritual Killing, Kwara",11/2/2025,11/2/2025,1,Kwara
IBD031713,"Mob vs Thief, Akwa Ibom",11/2/2025,11/2/2025,1,Akwa Ibom
IBD031721,"Student Drowns, Benue",10/2/2025,10/2/2025,1,Benue
IBD031720,"Assailants vs Girl, Ekiti",10/2/2025,10/2/2025,1,Ekiti
IBD031709,"Auto Crash, Niger",10/2/2025,10/2/2025,1,Niger
IBD031762,"Kidnap Victim, FCT (Abuja)",10/2/2025,10/2/2025,1,FCT
IBD031717,"Bandits vs Traders, Katsina",10/2/2025,10/2/2025,1,Katsina
IBD031714,"Communal Clash, Akwa Ibom",10/2/2025,10/2/2025,1,Akwa Ibom
IBD031693,"Banditry, Sokoto",9/2/2025,9/2/2025,1,Sokoto
IBD031692,"Cult Clash, Rivers",9/2/2025,9/2/2025,20,Rivers
IBD031703,"Troops vs Bandits, Zamfara",9/2/2025,9/2/2025,4,Zamfara
IBD031706,"Herdsmen Kill Girl, Ekiti",9/2/2025,9/2/2025,1,Ekiti
IBD031708,"Auto Crash, Jigawa",9/2/2025,9/2/2025,5,Jigawa
IBD031704,"Communal Clash, Abia",9/2/2025,9/2/2025,1,Abia
IBD031690,"Police Kill Man, Rivers",9/2/2025,9/2/2025,1,Rivers
IBD031719,"Gunmen vs Police Officer, Yobe",9/2/2025,9/2/2025,2,Yobe
IBD031702,"Burglars vs Woman, Delta",9/2/2025,9/2/2025,1,Delta
IBD031747,"Police vs IPOB/ESN, Imo",9/2/2025,9/2/2025,3,Imo
IBD031694,"Cult Clash, Benue",9/2/2025,9/2/2025,4,Benue
IBD031705,"Gunmen Kill Pastor, Gombe",9/2/2025,9/2/2025,1,Gombe
IBD031697,"Auto Crash, Kwara",8/2/2025,8/2/2025,1,Kwara
IBD031707,"Student Dies, Lagos",8/2/2025,8/2/2025,1,Lagos
IBD031754,Police vs IPOB/ESN Imo,8/2/2025,8/2/2025,2,Imo
